row_id,person_id,name,description,birth_date
people_34282,Q3667483,Chiara Gensini,Italian actress,1982-05-02T00:00:00Z
people_34283,Q366833,Sam Claflin,British actor,1986-06-27T00:00:00Z
people_34284,Q36685840,Ilfenesh Hadera,American actress and model,1985-12-01T00:00:00Z
people_34285,Q366877,Driss Roukhe,Moroccan actor,1968-07-05T00:00:00Z
people_34286,Q36692762,Sílvia Quer,Spanish film director,1962-08-25T00:00:00Z
people_34287,Q366956,Robert Montgomery,American actor (1904-1981),1904-05-21T00:00:00Z
people_34288,Q36696837,Timothé Vom Dorp,French actor,2007-03-03T00:00:00Z
people_34289,Q36697214,Tom Rhys Harries,Welsh actor,1992-10-08T00:00:00Z
people_34290,Q36697344,Antonio Negret,television and film director,1982-02-13T00:00:00Z
people_34291,Q367094,Andy Dick,American comedian and actor,1965-12-21T00:00:00Z
people_34292,Q3671,Justin Chadwick,British actor and director,1968-12-06T00:00:00Z
people_34293,Q367155,Robert Forster,American actor (1941–2019),1941-07-13T00:00:00Z
people_34294,Q367172,Lisa Gastoni,Italian actress (born 1935),1935-07-28T00:00:00Z
people_34295,Q367489,Ricky Tognazzi,Italian actor and film director (born 1955),1955-05-01T00:00:00Z
people_34296,Q3675583,Chris Wolfe,American astronomer,2000-01-01T00:00:00Z
people_34297,Q3675622,Christian Boeving,"American actor, writer, producer, fitness model, personal trainer, and former bodybuilding supplement spokesperson",1969-06-05T00:00:00Z
people_34298,Q3675641,Christian Erickson,American actor,1946-01-01T00:00:00Z
people_34299,Q3675737,Christie Burke,American actress (born 1994),1994-09-27T00:00:00Z
people_34300,Q3675834,Christopher Landon,American filmmaker,1975-02-27T00:00:00Z
people_34301,Q3675841,Christopher Carley,American actor,1978-05-31T00:00:00Z
people_34302,Q3676043,Chuck Patton,American comic book artist and animator,1960-01-01T00:00:00Z
people_34303,Q3676086,Chunky Pandey,Indian actor,1962-09-26T00:00:00Z
people_34304,Q367629,Peter Egan,British actor,1946-09-28T00:00:00Z
people_34305,Q36767,Robert Pattinson,British actor (born 1986),1986-05-13T00:00:00Z
people_34306,Q3677314,Cinqué Lee,American actor and filmmaker,1966-06-24T00:00:00Z
people_34307,Q3677352,Cinzia Mascoli,Italian actress,1960-09-15T00:00:00Z
people_34308,Q367816,Ove Kindvall,Swedish association football player (1943–2025),1943-05-16T00:00:00Z
people_34309,Q3679101,Clare Stone,Canadian actress,1992-01-01T00:00:00Z
people_34310,Q36797276,Pedro Mari Santos,Spanish film director,
people_34311,Q3679896,Claudia Zanella,Italian actress,1979-03-30T00:00:00Z
people_34312,Q368,Augusto Pinochet,dictator of Chile from 1973 to 1990,1915-11-25T00:00:00Z
people_34313,Q3680061,Claudio Gioè,Italian actor,1975-01-27T00:00:00Z
people_34314,Q3680240,Claudio Spadaro,Italian actor,1953-06-17T00:00:00Z
people_34315,Q368037,Wes Bentley,American actor,1978-09-04T00:00:00Z
people_34316,Q368079,Lorena Sanchez,American pornographic actress,1986-06-21T00:00:00Z
people_34317,Q368090,Finn Jones,British actor,1988-03-24T00:00:00Z
people_34318,Q368226,Milan Bandić,Croatian politician; mayor of Zagreb (1955–2021),1955-11-22T00:00:00Z
people_34319,Q3682647,Colin Minihan,"Canadian film director, producer and screenwriter",1985-05-18T00:00:00Z
people_34320,Q368424,Avan Jogia,"Canadian actor, singer and director (born 1992)",1992-02-09T00:00:00Z
people_34321,Q36844,Q36844,Barbadian singer (born 1988),1988-02-20T00:00:00Z
people_34322,Q368447,Dino Morea,"Indian actor, model, film producer",1975-12-09T00:00:00Z
people_34323,Q36847372,Jean Pellerin,,
people_34324,Q368493,Simon Curtis,British film director and producer,1960-03-11T00:00:00Z
people_34325,Q36849682,Juan Cavestany,,1967-04-27T00:00:00Z
people_34326,Q3687084,Connor Price,Canadian actor,1994-11-11T00:00:00Z
people_34327,Q368913,Max Casella,American actor,1967-06-06T00:00:00Z
people_34328,Q368928,Csongor Kassai,Hungarian-born actor from Slovakia,1972-08-24T00:00:00Z
people_34329,Q3690976,Rong Xiang,Taiwanese actor,1969-02-09T00:00:00Z
people_34330,Q369113,Daniel Lapaine,Australian actor,1970-04-16T00:00:00Z
people_34331,Q369276,Doug Lefler,"American film director, producer and screenwriter",http://www.wikidata.org/.well-known/genid/55cd2e7048beac1c400e29ce06e2759e
people_34332,Q36937248,Maty Dio,,1973-06-26T00:00:00Z
people_34333,Q3694211,Corrado Conforti,Italian actor and voice actor,1968-08-05T00:00:00Z
people_34334,Q3694222,Corrado Fortuna,"Italian actor, director, television presenter and writer",1978-03-31T00:00:00Z
people_34335,Q369424,Bobcat Goldthwait,"American comedian, actor, film director and screenwriter",1962-05-26T00:00:00Z
people_34336,Q369482,Aziz Ansari,"American actor, stand-up comedian, screenwriter and director",1983-02-23T00:00:00Z
people_34337,Q369485,Peter Masterson,"American actor, writer, film director/producer (1934–2018)",1934-06-01T00:00:00Z
people_34338,Q36949,Robert De Niro,American actor (born 1943),1943-08-17T00:00:00Z
