row_id,movie_id,person_id,statement_id
directors_8049,Q1417683,Q3186037,q1417683-D3BC5860-F82A-448E-8630-3F7EC6BD8FA3
directors_8050,Q1417721,Q2720543,q1417721-8E720C93-95CC-4C96-AF69-1EBE7C1710F0
directors_8051,Q1417840,Q15431038,Q1417840-F791EB7B-A98E-4559-8079-7E6385E3D0AF
directors_8052,Q1417901,Q63069,Q1417901-5C46A4C0-C0B5-4352-BC37-247BDB81DEE4
directors_8053,Q1417929,Q188792,q1417929-7A2CFC16-1A23-4C34-A864-5A4BF8EFF40D
directors_8054,Q1418089,Q918487,q1418089-67A906DE-E39E-4E2B-8E29-A37E6C39DC69
directors_8055,Q1419056,Q334242,q1419056-03DAE2B0-4CEA-4958-B070-32AA3012C9B3
directors_8056,Q1420330,Q3277020,q1420330-3DD6DD6A-E49C-4366-9924-4ECF4805CE4C
directors_8057,Q14207952,Q460223,q14207952-C51DF02D-8D23-460A-A6C9-80CA1BFDFCC2
directors_8058,Q1421068,Q708899,q1421068-6A2E4AE0-0566-43E9-BFD0-547DDA5797FA
directors_8059,Q1421143,Q6238342,Q1421143-4FDD6A4E-85F4-4B49-973E-D9C4FBF40380
directors_8060,Q1421185,Q423313,q1421185-EEBF8624-11B7-4FC9-8305-D202871EE03F
directors_8061,Q1421526,Q365726,q1421526-2879E226-7EEB-49D8-BD70-00DE1B47884B
directors_8062,Q1421537,Q113351834,Q1421537-96D627EA-A65C-44D2-9C1F-66E91DF9554F
directors_8063,Q1421551,Q270848,Q1421551-ecd29f9d-44ed-0156-5468-658d081c20ab
directors_8064,Q1421593,Q350405,q1421593-EDD21AF8-AFF3-4121-B63A-F8B1CDDED7C3
directors_8065,Q1421902,Q399182,q1421902-90C36D28-0571-432F-8409-2F20DC2B240F
directors_8066,Q1422242,Q67268,q1422242-634A4CAF-E989-4B83-BE77-4A18A5A5A673
directors_8067,Q1422400,Q315087,q1422400-9AF6BB94-5EC5-47AE-A5DA-22BCBCB015F3
directors_8068,Q14227639,Q1893907,Q14227639-43328C51-DD91-472A-953D-C90CCBB0D4A8
directors_8069,Q142292,Q103917,q142292-5C6DE068-8A70-458F-AD1E-0CF6220B6332
